Logger,Plot,Timestamp,Variable,Value,Depth_cm
12,Control,2026-06-07T16:40:00Z,Temp,18.45,5
12,Control,2026-06-07T16:40:00Z,PerAirSat,100.8,15
12,Control,2026-06-07T16:40:00Z,Temp,18.45,15
12,Control,2026-06-07T16:40:00Z,PerAirSat,94.4,30
12,Control,2026-06-07T16:40:00Z,Temp,18.45,30
12,Control,2026-06-07T16:40:00Z,PerAirSat,0,50
12,Control,2026-06-07T16:40:00Z,Temp,18.45,50
12,Control,2026-06-07T16:50:00Z,PerAirSat,103,5
12,Control,2026-06-07T16:50:00Z,Temp,18.52,5
12,Control,2026-06-07T16:50:00Z,PerAirSat,100.7,15
12,Control,2026-06-07T16:50:00Z,Temp,18.51,15
12,Control,2026-06-07T16:50:00Z,PerAirSat,94.4,30
12,Control,2026-06-07T16:50:00Z,Temp,18.52,30
12,Control,2026-06-07T16:50:00Z,PerAirSat,0,50
12,Control,2026-06-07T16:50:00Z,Temp,18.52,50
12,Control,2026-06-07T17:00:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T17:00:00Z,Temp,18.56,5
12,Control,2026-06-07T17:00:00Z,PerAirSat,100.4,15
12,Control,2026-06-07T17:00:00Z,Temp,18.56,15
12,Control,2026-06-07T17:00:00Z,PerAirSat,94.2,30
12,Control,2026-06-07T17:00:00Z,Temp,18.56,30
12,Control,2026-06-07T17:00:00Z,PerAirSat,0,50
12,Control,2026-06-07T17:00:00Z,Temp,18.56,50
12,Control,2026-06-07T17:10:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T17:10:00Z,Temp,18.62,5
12,Control,2026-06-07T17:10:00Z,PerAirSat,100.3,15
12,Control,2026-06-07T17:10:00Z,Temp,18.61,15
12,Control,2026-06-07T17:10:00Z,PerAirSat,94.2,30
12,Control,2026-06-07T17:10:00Z,Temp,18.61,30
12,Control,2026-06-07T17:10:00Z,PerAirSat,0,50
12,Control,2026-06-07T17:10:00Z,Temp,18.61,50
12,Control,2026-06-07T17:20:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T17:20:00Z,Temp,18.66,5
12,Control,2026-06-07T17:20:00Z,PerAirSat,100.2,15
12,Control,2026-06-07T17:20:00Z,Temp,18.66,15
12,Control,2026-06-07T17:20:00Z,PerAirSat,94.3,30
12,Control,2026-06-07T17:20:00Z,Temp,18.66,30
12,Control,2026-06-07T17:20:00Z,PerAirSat,0,50
12,Control,2026-06-07T17:20:00Z,Temp,18.66,50
12,Control,2026-06-07T17:30:00Z,PerAirSat,102.8,5
12,Control,2026-06-07T17:30:00Z,Temp,18.7,5
12,Control,2026-06-07T17:30:00Z,PerAirSat,100,15
12,Control,2026-06-07T17:30:00Z,Temp,18.7,15
12,Control,2026-06-07T17:30:00Z,PerAirSat,94.3,30
12,Control,2026-06-07T17:30:00Z,Temp,18.7,30
12,Control,2026-06-07T17:30:00Z,PerAirSat,0,50
12,Control,2026-06-07T17:30:00Z,Temp,18.7,50
12,Control,2026-06-07T17:40:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T17:40:00Z,Temp,18.74,5
12,Control,2026-06-07T17:40:00Z,PerAirSat,99.9,15
12,Control,2026-06-07T17:40:00Z,Temp,18.74,15
12,Control,2026-06-07T17:40:00Z,PerAirSat,94.2,30
12,Control,2026-06-07T17:40:00Z,Temp,18.74,30
12,Control,2026-06-07T17:40:00Z,PerAirSat,0,50
12,Control,2026-06-07T17:40:00Z,Temp,18.74,50
12,Control,2026-06-07T17:50:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T17:50:00Z,Temp,18.78,5
12,Control,2026-06-07T17:50:00Z,PerAirSat,99.8,15
12,Control,2026-06-07T17:50:00Z,Temp,18.78,15
12,Control,2026-06-07T17:50:00Z,PerAirSat,94.4,30
12,Control,2026-06-07T17:50:00Z,Temp,18.78,30
12,Control,2026-06-07T17:50:00Z,PerAirSat,0,50
12,Control,2026-06-07T17:50:00Z,Temp,18.78,50
12,Control,2026-06-07T18:00:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T18:00:00Z,Temp,18.82,5
12,Control,2026-06-07T18:00:00Z,PerAirSat,99.7,15
12,Control,2026-06-07T18:00:00Z,Temp,18.82,15
12,Control,2026-06-07T18:00:00Z,PerAirSat,94.3,30
12,Control,2026-06-07T18:00:00Z,Temp,18.82,30
12,Control,2026-06-07T18:00:00Z,PerAirSat,0,50
12,Control,2026-06-07T18:00:00Z,Temp,18.82,50
12,Control,2026-06-07T18:10:00Z,PerAirSat,102.8,5
12,Control,2026-06-07T18:10:00Z,Temp,18.86,5
12,Control,2026-06-07T18:10:00Z,PerAirSat,99.5,15
12,Control,2026-06-07T18:10:00Z,Temp,18.86,15
12,Control,2026-06-07T18:10:00Z,PerAirSat,94.1,30
12,Control,2026-06-07T18:10:00Z,Temp,18.86,30
12,Control,2026-06-07T18:10:00Z,PerAirSat,0,50
12,Control,2026-06-07T18:10:00Z,Temp,18.86,50
12,Control,2026-06-07T18:20:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T18:20:00Z,Temp,18.9,5
12,Control,2026-06-07T18:20:00Z,PerAirSat,99.5,15
12,Control,2026-06-07T18:20:00Z,Temp,18.9,15
12,Control,2026-06-07T18:20:00Z,PerAirSat,94.2,30
12,Control,2026-06-07T18:20:00Z,Temp,18.9,30
12,Control,2026-06-07T18:20:00Z,PerAirSat,0,50
12,Control,2026-06-07T18:20:00Z,Temp,18.9,50
12,Control,2026-06-07T18:30:00Z,PerAirSat,102.7,5
12,Control,2026-06-07T18:30:00Z,Temp,18.93,5
12,Control,2026-06-07T18:30:00Z,PerAirSat,99.3,15
12,Control,2026-06-07T18:30:00Z,Temp,18.93,15
12,Control,2026-06-07T18:30:00Z,PerAirSat,94.1,30
12,Control,2026-06-07T18:30:00Z,Temp,18.93,30
12,Control,2026-06-07T18:30:00Z,PerAirSat,0,50
12,Control,2026-06-07T18:30:00Z,Temp,18.93,50
12,Control,2026-06-07T18:40:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T18:40:00Z,Temp,18.96,5
12,Control,2026-06-07T18:40:00Z,PerAirSat,99.2,15
12,Control,2026-06-07T18:40:00Z,Temp,18.96,15
12,Control,2026-06-07T18:40:00Z,PerAirSat,94.1,30
12,Control,2026-06-07T18:40:00Z,Temp,18.96,30
12,Control,2026-06-07T18:40:00Z,PerAirSat,0,50
12,Control,2026-06-07T18:40:00Z,Temp,18.96,50
12,Control,2026-06-07T18:50:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T18:50:00Z,Temp,18.98,5
12,Control,2026-06-07T18:50:00Z,PerAirSat,99.1,15
12,Control,2026-06-07T18:50:00Z,Temp,18.98,15
12,Control,2026-06-07T18:50:00Z,PerAirSat,94,30
12,Control,2026-06-07T18:50:00Z,Temp,18.98,30
12,Control,2026-06-07T18:50:00Z,PerAirSat,0,50
12,Control,2026-06-07T18:50:00Z,Temp,18.99,50
12,Control,2026-06-07T19:00:00Z,PerAirSat,103,5
12,Control,2026-06-07T19:00:00Z,Temp,19.01,5
12,Control,2026-06-07T19:00:00Z,PerAirSat,99,15
12,Control,2026-06-07T19:00:00Z,Temp,19.01,15
12,Control,2026-06-07T19:00:00Z,PerAirSat,94,30
12,Control,2026-06-07T19:00:00Z,Temp,19.01,30
12,Control,2026-06-07T19:00:00Z,PerAirSat,0,50
12,Control,2026-06-07T19:00:00Z,Temp,19.01,50
12,Control,2026-06-07T19:10:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T19:10:00Z,Temp,19.03,5
12,Control,2026-06-07T19:10:00Z,PerAirSat,99,15
12,Control,2026-06-07T19:10:00Z,Temp,19.03,15
12,Control,2026-06-07T19:10:00Z,PerAirSat,93.8,30
12,Control,2026-06-07T19:10:00Z,Temp,19.03,30
12,Control,2026-06-07T19:10:00Z,PerAirSat,0,50
12,Control,2026-06-07T19:10:00Z,Temp,19.03,50
12,Control,2026-06-07T19:20:00Z,PerAirSat,102.8,5
12,Control,2026-06-07T19:20:00Z,Temp,19.06,5
12,Control,2026-06-07T19:20:00Z,PerAirSat,98.9,15
12,Control,2026-06-07T19:20:00Z,Temp,19.06,15
12,Control,2026-06-07T19:20:00Z,PerAirSat,93.9,30
12,Control,2026-06-07T19:20:00Z,Temp,19.06,30
12,Control,2026-06-07T19:20:00Z,PerAirSat,0,50
12,Control,2026-06-07T19:20:00Z,Temp,19.06,50
12,Control,2026-06-07T19:30:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T19:30:00Z,Temp,19.08,5
12,Control,2026-06-07T19:30:00Z,PerAirSat,NA,15
12,Control,2026-06-07T19:30:00Z,Temp,NA,15
12,Control,2026-06-07T19:30:00Z,PerAirSat,93.8,30
12,Control,2026-06-07T19:30:00Z,Temp,19.08,30
12,Control,2026-06-07T19:30:00Z,PerAirSat,0,50
12,Control,2026-06-07T19:30:00Z,Temp,19.08,50
12,Control,2026-06-07T19:40:00Z,PerAirSat,102.9,5
12,Control,2026-06-07T19:40:00Z,Temp,19.1,5
12,Control,2026-06-07T19:40:00Z,PerAirSat,98.7,15
12,Control,2026-06-07T19:40:00Z,Temp,19.1,15
