Plot,Timestamp,Value,Sapflow_ID,Logger,Port,Species,Out_Of_Plot,BattV_Avg,Grid_Square
Control,2026-06-01T10:15:00Z,0.551,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T10:15:00Z,0.479,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T10:15:00Z,0.43,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T10:30:00Z,0.753,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T10:30:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T10:30:00Z,1.064,C10,11,3,ACRU,FALSE,13.66,D4
Control,2026-06-01T10:30:00Z,0.551,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T10:30:00Z,0.479,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T10:30:00Z,0.43,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T10:45:00Z,0.753,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T10:45:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T10:45:00Z,1.065,C10,11,3,ACRU,FALSE,13.66,D4
Control,2026-06-01T10:45:00Z,0.551,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T10:45:00Z,0.478,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T10:45:00Z,0.43,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T11:00:00Z,0.753,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T11:00:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T11:00:00Z,1.065,C10,11,3,ACRU,FALSE,13.66,D4
Control,2026-06-01T11:00:00Z,0.551,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T11:00:00Z,0.478,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T11:00:00Z,0.43,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T11:15:00Z,0.753,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T11:15:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T11:15:00Z,1.066,C10,11,3,ACRU,FALSE,13.66,D4
Control,2026-06-01T11:15:00Z,0.55,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T11:15:00Z,0.476,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T11:15:00Z,0.429,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T11:30:00Z,0.752,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T11:30:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T11:30:00Z,1.068,C10,11,3,ACRU,FALSE,13.66,D4
Control,2026-06-01T11:30:00Z,0.55,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T11:30:00Z,0.469,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T11:30:00Z,0.426,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T11:45:00Z,0.751,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T11:45:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T11:45:00Z,1.068,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T11:45:00Z,0.55,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T11:45:00Z,0.455,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T11:45:00Z,0.42,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T12:00:00Z,0.749,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T12:00:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T12:00:00Z,1.069,C10,11,3,ACRU,FALSE,13.66,D4
Control,2026-06-01T12:00:00Z,0.549,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T12:00:00Z,0.438,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T12:00:00Z,0.412,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T12:15:00Z,0.745,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T12:15:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T12:15:00Z,1.069,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T12:15:00Z,0.548,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T12:15:00Z,0.415,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T12:15:00Z,0.402,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T12:30:00Z,0.738,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T12:30:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T12:30:00Z,1.069,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T12:30:00Z,0.546,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T12:30:00Z,0.39,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T12:30:00Z,0.391,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T12:45:00Z,0.727,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T12:45:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T12:45:00Z,1.069,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T12:45:00Z,0.542,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T12:45:00Z,0.37,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T12:45:00Z,0.381,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T13:00:00Z,0.71,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T13:00:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T13:00:00Z,1.068,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T13:00:00Z,0.535,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T13:00:00Z,0.353,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T13:00:00Z,0.372,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T13:15:00Z,0.689,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T13:15:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T13:15:00Z,1.068,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T13:15:00Z,0.525,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T13:15:00Z,0.338,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T13:15:00Z,0.365,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T13:30:00Z,0.667,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T13:30:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T13:30:00Z,1.068,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T13:30:00Z,0.51,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T13:30:00Z,0.329,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T13:30:00Z,0.361,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T13:45:00Z,0.647,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T13:45:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T13:45:00Z,1.067,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T13:45:00Z,0.492,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T13:45:00Z,0.319,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T13:45:00Z,0.357,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T14:00:00Z,0.634,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T14:00:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T14:00:00Z,1.068,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T14:00:00Z,0.474,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T14:00:00Z,0.317,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T14:00:00Z,0.355,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T14:15:00Z,0.626,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T14:15:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T14:15:00Z,1.068,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T14:15:00Z,0.458,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T14:15:00Z,0.313,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T14:15:00Z,0.354,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T14:30:00Z,0.623,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T14:30:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T14:30:00Z,1.068,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T14:30:00Z,0.448,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T14:30:00Z,0.315,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T14:30:00Z,0.354,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T14:45:00Z,0.622,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T14:45:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T14:45:00Z,1.071,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T14:45:00Z,0.442,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T14:45:00Z,0.316,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T14:45:00Z,0.356,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T15:00:00Z,0.62,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T15:00:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T15:00:00Z,1.072,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T15:00:00Z,0.438,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T15:00:00Z,0.315,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T15:00:00Z,0.356,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T15:15:00Z,0.618,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T15:15:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T15:15:00Z,1.073,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T15:15:00Z,0.434,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T15:15:00Z,0.312,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T15:15:00Z,0.356,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T15:30:00Z,0.617,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T15:30:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T15:30:00Z,1.072,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T15:30:00Z,0.431,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T15:30:00Z,0.314,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T15:30:00Z,0.356,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T15:45:00Z,0.619,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T15:45:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T15:45:00Z,1.071,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T15:45:00Z,0.43,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T15:45:00Z,0.318,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T15:45:00Z,0.357,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T16:00:00Z,0.62,C7,11,1,ACRU,FALSE,13.64,B3
Control,2026-06-01T16:00:00Z,NA,C19,11,2,ACRU,FALSE,13.64,A1
Control,2026-06-01T16:00:00Z,1.07,C10,11,3,ACRU,FALSE,13.64,D4
Control,2026-06-01T16:00:00Z,0.427,C11,11,4,ACRU,FALSE,13.64,F2
Control,2026-06-01T16:00:00Z,0.318,C16,11,5,FAGR,FALSE,13.64,E4
Control,2026-06-01T16:00:00Z,0.358,C18,11,6,FAGR,TRUE,13.64,G1
Control,2026-06-01T16:15:00Z,0.618,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T16:15:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T16:15:00Z,1.069,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T16:15:00Z,0.423,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T16:15:00Z,0.315,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T16:15:00Z,0.358,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T16:30:00Z,0.618,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T16:30:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T16:30:00Z,1.068,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T16:30:00Z,0.421,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T16:30:00Z,0.314,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T16:30:00Z,0.358,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T16:45:00Z,0.618,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T16:45:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T16:45:00Z,1.068,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T16:45:00Z,0.42,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T16:45:00Z,0.314,C16,11,5,FAGR,FALSE,13.65,E4
